,dt,sensor,con,spl,date,time
1,2016-06-21 00:00:00,sensor_2,1691.99625,70.3759431913,2016-06-21,00:00:00
5,2016-06-21 04:00:00,sensor_2,2550.945,72.3344504836,2016-06-21,04:00:00
9,2016-06-21 08:00:00,sensor_2,3088.8275,76.3720470741,2016-06-21,08:00:00
13,2016-06-21 12:00:00,sensor_2,2561.64625,77.5717150166,2016-06-21,12:00:00
17,2016-06-21 16:00:00,sensor_2,2721.79125,75.6358367493,2016-06-21,16:00:00
21,2016-06-21 20:00:00,sensor_2,2011.69375,72.5786515757,2016-06-21,20:00:00
25,2016-06-22 00:00:00,sensor_2,1588.41375,70.1269989675,2016-06-22,00:00:00
29,2016-06-22 04:00:00,sensor_2,2007.6925,72.0395720837,2016-06-22,04:00:00
33,2016-06-22 08:00:00,sensor_2,2652.43875,77.1846144206,2016-06-22,08:00:00
37,2016-06-22 12:00:00,sensor_2,2528.38625,78.1364706029,2016-06-22,12:00:00
41,2016-06-22 16:00:00,sensor_2,2516.44375,77.0970660182,2016-06-22,16:00:00
45,2016-06-22 20:00:00,sensor_2,1657.26875,74.8602877791,2016-06-22,20:00:00
49,2016-06-23 00:00:00,sensor_2,1488.98375,71.5870978268,2016-06-23,00:00:00
53,2016-06-23 04:00:00,sensor_2,1853.7675,72.4894658013,2016-06-23,04:00:00
57,2016-06-23 08:00:00,sensor_2,2683.32375,74.1982619407,2016-06-23,08:00:00
61,2016-06-23 12:00:00,sensor_2,2405.71125,76.4531436665,2016-06-23,12:00:00
65,2016-06-23 16:00:00,sensor_2,1866.3175,76.7665124508,2016-06-23,16:00:00
69,2016-06-23 20:00:00,sensor_2,1505.5325,72.2035013093,2016-06-23,20:00:00
73,2016-06-24 00:00:00,sensor_2,1733.47125,71.0565524668,2016-06-24,00:00:00
77,2016-06-24 04:00:00,sensor_2,2491.0175,73.8232833162,2016-06-24,04:00:00
81,2016-06-24 08:00:00,sensor_2,2407.0975,75.0551894373,2016-06-24,08:00:00
85,2016-06-24 12:00:00,sensor_2,2371.1425,76.7874239142,2016-06-24,12:00:00
89,2016-06-24 16:00:00,sensor_2,2462.61375,74.6180685193,2016-06-24,16:00:00
93,2016-06-24 20:00:00,sensor_2,1952.50375,73.8567131969,2016-06-24,20:00:00
97,2016-06-25 00:00:00,sensor_2,2298.47875,70.5338209252,2016-06-25,00:00:00
101,2016-06-25 04:00:00,sensor_2,2461.28,69.7617283356,2016-06-25,04:00:00
105,2016-06-25 08:00:00,sensor_2,3083.4825,73.923615289,2016-06-25,08:00:00
109,2016-06-25 12:00:00,sensor_2,2321.385,75.4541740246,2016-06-25,12:00:00
113,2016-06-25 16:00:00,sensor_2,1699.17125,71.4839952134,2016-06-25,16:00:00
117,2016-06-25 20:00:00,sensor_2,1729.84125,71.9179373471,2016-06-25,20:00:00
121,2016-06-26 00:00:00,sensor_2,1658.82,72.1921829608,2016-06-26,00:00:00
125,2016-06-26 04:00:00,sensor_2,2105.245,68.8969869425,2016-06-26,04:00:00
129,2016-06-26 08:00:00,sensor_2,2513.52375,73.1800659678,2016-06-26,08:00:00
133,2016-06-26 12:00:00,sensor_2,2057.1475,77.6767627396,2016-06-26,12:00:00
137,2016-06-26 16:00:00,sensor_2,2331.305,74.5034821538,2016-06-26,16:00:00
141,2016-06-26 20:00:00,sensor_2,1676.8875,73.0637265123,2016-06-26,20:00:00
145,2016-06-27 00:00:00,sensor_2,2037.58625,70.3715159382,2016-06-27,00:00:00
149,2016-06-27 04:00:00,sensor_2,2076.255,71.4407826848,2016-06-27,04:00:00
153,2016-06-27 08:00:00,sensor_2,2651.1875,74.5271727099,2016-06-27,08:00:00
157,2016-06-27 12:00:00,sensor_2,2956.91625,75.3282881927,2016-06-27,12:00:00
161,2016-06-27 16:00:00,sensor_2,3402.76375,74.1812036805,2016-06-27,16:00:00
165,2016-06-27 20:00:00,sensor_2,2918.4875,71.075436405,2016-06-27,20:00:00
169,2016-06-28 00:00:00,sensor_2,2266.00625,70.7393366212,2016-06-28,00:00:00
173,2016-06-28 04:00:00,sensor_2,2170.49375,71.7609032045,2016-06-28,04:00:00
177,2016-06-28 08:00:00,sensor_2,2416.54625,74.5271272731,2016-06-28,08:00:00
181,2016-06-28 12:00:00,sensor_2,2425.57125,75.2414838448,2016-06-28,12:00:00
185,2016-06-28 16:00:00,sensor_2,2159.825,73.2040985191,2016-06-28,16:00:00
189,2016-06-28 20:00:00,sensor_2,1932.4075,70.0283276108,2016-06-28,20:00:00
193,2016-06-29 00:00:00,sensor_2,1818.99125,70.1684326565,2016-06-29,00:00:00
197,2016-06-29 04:00:00,sensor_2,2011.4,71.5329165002,2016-06-29,04:00:00
201,2016-06-29 08:00:00,sensor_2,2135.48125,75.4362515644,2016-06-29,08:00:00
205,2016-06-29 12:00:00,sensor_2,6415.7025,75.3565459201,2016-06-29,12:00:00
209,2016-06-29 16:00:00,sensor_2,2208.6025,77.2577715806,2016-06-29,16:00:00
213,2016-06-29 20:00:00,sensor_2,1800.59875,71.8732654867,2016-06-29,20:00:00
217,2016-06-30 00:00:00,sensor_2,1802.66375,73.1630775766,2016-06-30,00:00:00
221,2016-06-30 04:00:00,sensor_2,2012.52125,73.1185701243,2016-06-30,04:00:00
225,2016-06-30 08:00:00,sensor_2,2819.79,76.9344624448,2016-06-30,08:00:00
229,2016-06-30 12:00:00,sensor_2,2137.30625,77.1520718118,2016-06-30,12:00:00
233,2016-06-30 16:00:00,sensor_2,1867.78125,78.2619313196,2016-06-30,16:00:00
237,2016-06-30 20:00:00,sensor_2,1708.97625,75.0845679523,2016-06-30,20:00:00
241,2016-07-01 00:00:00,sensor_2,1715.53625,70.6040161587,2016-07-01,00:00:00
245,2016-07-01 04:00:00,sensor_2,2058.23125,74.0426365262,2016-07-01,04:00:00
249,2016-07-01 08:00:00,sensor_2,2575.7025,75.4233625734,2016-07-01,08:00:00
253,2016-07-01 12:00:00,sensor_2,2739.82375,77.4842575492,2016-07-01,12:00:00
257,2016-07-01 16:00:00,sensor_2,2657.8925,76.3266673206,2016-07-01,16:00:00
261,2016-07-01 20:00:00,sensor_2,1881.91375,74.8590226435,2016-07-01,20:00:00
265,2016-07-02 00:00:00,sensor_2,1996.84875,72.8642452895,2016-07-02,00:00:00
269,2016-07-02 04:00:00,sensor_2,2137.6525,71.3702337202,2016-07-02,04:00:00
273,2016-07-02 08:00:00,sensor_2,1961.58125,75.2453191434,2016-07-02,08:00:00
277,2016-07-02 12:00:00,sensor_2,2358.03125,77.2430410067,2016-07-02,12:00:00
281,2016-07-02 16:00:00,sensor_2,2021.965,74.7507513907,2016-07-02,16:00:00
285,2016-07-02 20:00:00,sensor_2,1485.0175,73.7169871167,2016-07-02,20:00:00
289,2016-07-03 00:00:00,sensor_2,1585.71125,69.6214186503,2016-07-03,00:00:00
293,2016-07-03 04:00:00,sensor_2,1701.33,71.1289366304,2016-07-03,04:00:00
297,2016-07-03 08:00:00,sensor_2,1725.30375,74.2115754925,2016-07-03,08:00:00
301,2016-07-03 12:00:00,sensor_2,1935.88,76.929338857,2016-07-03,12:00:00
305,2016-07-03 16:00:00,sensor_2,1683.895,74.2009131944,2016-07-03,16:00:00
309,2016-07-03 20:00:00,sensor_2,1628.815,72.6692380879,2016-07-03,20:00:00
313,2016-07-04 00:00:00,sensor_2,1877.32875,69.1683423793,2016-07-04,00:00:00
317,2016-07-04 04:00:00,sensor_2,1895.13375,69.9753553352,2016-07-04,04:00:00
321,2016-07-04 08:00:00,sensor_2,2201.60875,73.7206417735,2016-07-04,08:00:00
325,2016-07-04 12:00:00,sensor_2,1607.42625,75.7311156418,2016-07-04,12:00:00
329,2016-07-04 16:00:00,sensor_2,1839.7075,77.9620938656,2016-07-04,16:00:00
333,2016-07-04 20:00:00,sensor_2,1996.76,76.3393709683,2016-07-04,20:00:00
337,2016-07-05 00:00:00,sensor_2,1330.37375,69.4060179435,2016-07-05,00:00:00
341,2016-07-05 04:00:00,sensor_2,1461.88125,71.9090385624,2016-07-05,04:00:00
345,2016-07-05 08:00:00,sensor_2,1559.495,75.359069314,2016-07-05,08:00:00
349,2016-07-05 12:00:00,sensor_2,1680.4375,76.02340857,2016-07-05,12:00:00
353,2016-07-05 16:00:00,sensor_2,2135.28875,76.6927137571,2016-07-05,16:00:00
357,2016-07-05 20:00:00,sensor_2,1510.77875,73.6506629208,2016-07-05,20:00:00
361,2016-07-06 00:00:00,sensor_2,1415.2,71.6205414914,2016-07-06,00:00:00
