,dt,sensor,con,spl,date,time
0,2016-06-21 00:00:00,sensor_0,2834.03125,66.3084790577,2016-06-21,00:00:00
4,2016-06-21 04:00:00,sensor_0,2748.28875,81.4674363436,2016-06-21,04:00:00
8,2016-06-21 08:00:00,sensor_0,2720.35125,80.0205999133,2016-06-21,08:00:00
12,2016-06-21 12:00:00,sensor_0,2443.72875,76.5258758139,2016-06-21,12:00:00
16,2016-06-21 16:00:00,sensor_0,2717.49625,80.0205999133,2016-06-21,16:00:00
20,2016-06-21 20:00:00,sensor_0,2839.575,72.0617997398,2016-06-21,20:00:00
24,2016-06-22 00:00:00,sensor_0,2451.52875,66.3084790577,2016-06-22,00:00:00
28,2016-06-22 04:00:00,sensor_0,2161.75,69.9176003469,2016-06-22,04:00:00
32,2016-06-22 08:00:00,sensor_0,2714.7975,77.0762972869,2016-06-22,08:00:00
36,2016-06-22 12:00:00,sensor_0,2786.37125,88.6478751965,2016-06-22,12:00:00
40,2016-06-22 16:00:00,sensor_0,2547.83625,80.6991223227,2016-06-22,16:00:00
44,2016-06-22 20:00:00,sensor_0,2470.1975,69.9176003469,2016-06-22,20:00:00
48,2016-06-23 00:00:00,sensor_0,2349.26,64.881360887,2016-06-23,00:00:00
52,2016-06-23 04:00:00,sensor_0,2857.1825,67.5338721925,2016-06-23,04:00:00
56,2016-06-23 08:00:00,sensor_0,3342.97625,72.5883785143,2016-06-23,08:00:00
60,2016-06-23 12:00:00,sensor_0,7509.04875,76.8446598359,2016-06-23,12:00:00
64,2016-06-23 16:00:00,sensor_0,2972.10125,75.0230504489,2016-06-23,16:00:00
68,2016-06-23 20:00:00,sensor_0,2769.56375,73.3228346548,2016-06-23,20:00:00
72,2016-06-24 00:00:00,sensor_0,2883.735,63.1727569805,2016-06-24,00:00:00
76,2016-06-24 04:00:00,sensor_0,2784.95875,72.9633672345,2016-06-24,04:00:00
80,2016-06-24 08:00:00,sensor_0,2918.5975,76.686730219,2016-06-24,08:00:00
84,2016-06-24 12:00:00,sensor_0,4268.22375,85.8490870111,2016-06-24,12:00:00
88,2016-06-24 16:00:00,sensor_0,3416.27875,78.7357819882,2016-06-24,16:00:00
92,2016-06-24 20:00:00,sensor_0,3353.78875,74.5265787744,2016-06-24,20:00:00
96,2016-06-25 00:00:00,sensor_0,2836.56,68.4031860681,2016-06-25,00:00:00
100,2016-06-25 04:00:00,sensor_0,3017.26,67.9794000867,2016-06-25,04:00:00
104,2016-06-25 08:00:00,sensor_0,3158.91375,76.5258758139,2016-06-25,08:00:00
108,2016-06-25 12:00:00,sensor_0,2709.1875,78.4152330795,2016-06-25,12:00:00
112,2016-06-25 16:00:00,sensor_0,2236.9425,79.6886146769,2016-06-25,16:00:00
116,2016-06-25 20:00:00,sensor_0,2594.2475,75.0230504489,2016-06-25,20:00:00
120,2016-06-26 00:00:00,sensor_0,2156.685,69.5630250077,2016-06-26,00:00:00
124,2016-06-26 04:00:00,sensor_0,2129.61875,67.7594924007,2016-06-26,04:00:00
128,2016-06-26 08:00:00,sensor_0,2355.6325,71.5012252678,2016-06-26,08:00:00
132,2016-06-26 12:00:00,sensor_0,2862.50375,83.8970004336,2016-06-26,12:00:00
136,2016-06-26 16:00:00,sensor_0,3342.08,82.3825861548,2016-06-26,16:00:00
140,2016-06-26 20:00:00,sensor_0,2821.91125,74.3197621077,2016-06-26,20:00:00
144,2016-06-27 00:00:00,sensor_0,2570.56125,71.2067601314,2016-06-27,00:00:00
148,2016-06-27 04:00:00,sensor_0,3148.09875,73.5544721058,2016-06-27,04:00:00
152,2016-06-27 08:00:00,sensor_0,2693.875,79.3434345681,2016-06-27,08:00:00
156,2016-06-27 12:00:00,sensor_0,3524.3525,84.3042260866,2016-06-27,12:00:00
160,2016-06-27 16:00:00,sensor_0,4123.045,85.0958381948,2016-06-27,16:00:00
164,2016-06-27 20:00:00,sensor_0,42612.265,76.7660539633,2016-06-27,20:00:00
168,2016-06-28 00:00:00,sensor_0,3011.03625,71.5012252678,2016-06-28,00:00:00
172,2016-06-28 04:00:00,sensor_0,2623.94625,74.8278537032,2016-06-28,04:00:00
176,2016-06-28 08:00:00,sensor_0,3482.635,74.8278537032,2016-06-28,08:00:00
180,2016-06-28 12:00:00,sensor_0,2960.315,77.8764005203,2016-06-28,12:00:00
184,2016-06-28 16:00:00,sensor_0,10970.135,75.2139568071,2016-06-28,16:00:00
188,2016-06-28 20:00:00,sensor_0,2165.5275,64.5654755433,2016-06-28,20:00:00
192,2016-06-29 00:00:00,sensor_0,2523.52625,70.0896037821,2016-06-29,00:00:00
196,2016-06-29 04:00:00,sensor_0,10369.65375,75.0230504489,2016-06-29,04:00:00
