,dt,sensor,con,spl,date,time
3,2016-06-21 00:00:00,sensor_4,2324.65875,70.6523338747,2016-06-21,00:00:00
7,2016-06-21 04:00:00,sensor_4,3041.73875,81.4994221277,2016-06-21,04:00:00
11,2016-06-21 08:00:00,sensor_4,2757.6725,77.7855652235,2016-06-21,08:00:00
15,2016-06-21 12:00:00,sensor_4,2409.32625,73.5031354534,2016-06-21,12:00:00
19,2016-06-21 16:00:00,sensor_4,2944.80375,74.0617969824,2016-06-21,16:00:00
23,2016-06-21 20:00:00,sensor_4,1992.24,72.3947398322,2016-06-21,20:00:00
27,2016-06-22 00:00:00,sensor_4,1999.24125,69.8044511904,2016-06-22,00:00:00
31,2016-06-22 04:00:00,sensor_4,2763.72125,70.8119308229,2016-06-22,04:00:00
35,2016-06-22 08:00:00,sensor_4,3028.1925,73.6167485623,2016-06-22,08:00:00
39,2016-06-22 12:00:00,sensor_4,2453.33875,87.0135106985,2016-06-22,12:00:00
43,2016-06-22 16:00:00,sensor_4,2202.265,81.2225310167,2016-06-22,16:00:00
47,2016-06-22 20:00:00,sensor_4,2024.15,71.8518928392,2016-06-22,20:00:00
51,2016-06-23 00:00:00,sensor_4,1741.175,70.3216887806,2016-06-23,00:00:00
55,2016-06-23 04:00:00,sensor_4,2419.2325,70.9686481243,2016-06-23,04:00:00
59,2016-06-23 08:00:00,sensor_4,2983.7175,71.7107203978,2016-06-23,08:00:00
63,2016-06-23 12:00:00,sensor_4,8536.32875,72.262107774,2016-06-23,12:00:00
67,2016-06-23 16:00:00,sensor_4,2921.46875,72.9042778873,2016-06-23,16:00:00
71,2016-06-23 20:00:00,sensor_4,2503.91625,69.9802485721,2016-06-23,20:00:00
75,2016-06-24 00:00:00,sensor_4,2436.06,69.6244700474,2016-06-24,00:00:00
79,2016-06-24 04:00:00,sensor_4,3159.51625,71.7113717739,2016-06-24,04:00:00
83,2016-06-24 08:00:00,sensor_4,2734.2375,74.3830291746,2016-06-24,08:00:00
87,2016-06-24 12:00:00,sensor_4,2768.5175,83.6089665848,2016-06-24,12:00:00
91,2016-06-24 16:00:00,sensor_4,3414.48875,79.0303669638,2016-06-24,16:00:00
95,2016-06-24 20:00:00,sensor_4,2803.53875,70.6518433665,2016-06-24,20:00:00
99,2016-06-25 00:00:00,sensor_4,2483.3125,69.4406804435,2016-06-25,00:00:00
103,2016-06-25 04:00:00,sensor_4,2603.505,69.9802485721,2016-06-25,04:00:00
107,2016-06-25 08:00:00,sensor_4,2954.9075,72.2628809383,2016-06-25,08:00:00
111,2016-06-25 12:00:00,sensor_4,2692.8725,74.6887603978,2016-06-25,12:00:00
115,2016-06-25 16:00:00,sensor_4,2080.6975,75.0842580787,2016-06-25,16:00:00
119,2016-06-25 20:00:00,sensor_4,2156.935,70.4882500544,2016-06-25,20:00:00
123,2016-06-26 00:00:00,sensor_4,2307.68,69.9807785101,2016-06-26,00:00:00
127,2016-06-26 04:00:00,sensor_4,2522.09,69.6244700474,2016-06-26,04:00:00
131,2016-06-26 08:00:00,sensor_4,2728.635,71.2735446851,2016-06-26,08:00:00
135,2016-06-26 12:00:00,sensor_4,2434.5775,76.6606287649,2016-06-26,12:00:00
139,2016-06-26 16:00:00,sensor_4,2466.6425,75.083702214,2016-06-26,16:00:00
143,2016-06-26 20:00:00,sensor_4,2724.10875,70.4882500544,2016-06-26,20:00:00
147,2016-06-27 00:00:00,sensor_4,2788.3,70.1535974133,2016-06-27,00:00:00
151,2016-06-27 04:00:00,sensor_4,2716.1025,71.2706747418,2016-06-27,04:00:00
155,2016-06-27 08:00:00,sensor_4,2618.305,72.7816939641,2016-06-27,08:00:00
159,2016-06-27 12:00:00,sensor_4,3757.48875,78.1309570638,2016-06-27,12:00:00
163,2016-06-27 16:00:00,sensor_4,4246.49625,76.899772974,2016-06-27,16:00:00
167,2016-06-27 20:00:00,sensor_4,3656.21125,73.5042522753,2016-06-27,20:00:00
171,2016-06-28 00:00:00,sensor_4,2709.67625,70.6513528305,2016-06-28,00:00:00
175,2016-06-28 04:00:00,sensor_4,2427.27,71.2743033743,2016-06-28,04:00:00
179,2016-06-28 08:00:00,sensor_4,3506.54625,72.2638996388,2016-06-28,08:00:00
183,2016-06-28 12:00:00,sensor_4,3118.32625,74.1697261524,2016-06-28,12:00:00
187,2016-06-28 16:00:00,sensor_4,2289.18875,74.4864430538,2016-06-28,16:00:00
191,2016-06-28 20:00:00,sensor_4,3561.375,71.56478064,2016-06-28,20:00:00
195,2016-06-29 00:00:00,sensor_4,2089.77,69.6244700474,2016-06-29,00:00:00
199,2016-06-29 04:00:00,sensor_4,2674.9575,70.4887498883,2016-06-29,04:00:00
203,2016-06-29 08:00:00,sensor_4,2521.87,73.0291553284,2016-06-29,08:00:00
207,2016-06-29 12:00:00,sensor_4,4818.005,72.9068911857,2016-06-29,12:00:00
211,2016-06-29 16:00:00,sensor_4,2248.785,74.9879820965,2016-06-29,16:00:00
215,2016-06-29 20:00:00,sensor_4,2334.37875,73.7328196664,2016-06-29,20:00:00
219,2016-06-30 00:00:00,sensor_4,1976.6625,71.2714538439,2016-06-30,00:00:00
223,2016-06-30 04:00:00,sensor_4,2310.82625,70.486940515,2016-06-30,04:00:00
227,2016-06-30 08:00:00,sensor_4,2551.85875,72.1293364413,2016-06-30,08:00:00
231,2016-06-30 12:00:00,sensor_4,2658.31625,72.5254521279,2016-06-30,12:00:00
235,2016-06-30 16:00:00,sensor_4,2453.54,74.6904291739,2016-06-30,16:00:00
239,2016-06-30 20:00:00,sensor_4,2605.68,71.7125803671,2016-06-30,20:00:00
243,2016-07-01 00:00:00,sensor_4,2243.90875,69.9802485721,2016-07-01,00:00:00
247,2016-07-01 04:00:00,sensor_4,2137.3425,71.1218157981,2016-07-01,04:00:00
251,2016-07-01 08:00:00,sensor_4,3313.1375,73.9489127519,2016-07-01,08:00:00
255,2016-07-01 12:00:00,sensor_4,2966.8025,78.398634936,2016-07-01,12:00:00
259,2016-07-01 16:00:00,sensor_4,3072.615,78.3944366384,2016-07-01,16:00:00
263,2016-07-01 20:00:00,sensor_4,2158.7975,75.715877451,2016-07-01,20:00:00
267,2016-07-02 00:00:00,sensor_4,2411.705,71.8475524282,2016-07-02,00:00:00
271,2016-07-02 04:00:00,sensor_4,1999.0625,82.2500733256,2016-07-02,04:00:00
275,2016-07-02 08:00:00,sensor_4,1687.49625,83.5010694191,2016-07-02,08:00:00
279,2016-07-02 12:00:00,sensor_4,1519.1675,83.1293383576,2016-07-02,12:00:00
283,2016-07-02 16:00:00,sensor_4,2000.93875,79.8422872033,2016-07-02,16:00:00
287,2016-07-02 20:00:00,sensor_4,2037.005,71.5681005682,2016-07-02,20:00:00
