,dt,sensor,con,spl,date,time
291,2016-07-03 00:00:00,sensor_4,2040.9325,68.453323448,2016-07-03,00:00:00
295,2016-07-03 04:00:00,sensor_4,2171.33125,68.2137010647,2016-07-03,04:00:00
299,2016-07-03 08:00:00,sensor_4,2046.46,70.6505377269,2016-07-03,08:00:00
303,2016-07-03 12:00:00,sensor_4,2060.605,72.3952394912,2016-07-03,12:00:00
307,2016-07-03 16:00:00,sensor_4,2085.59625,73.5052962336,2016-07-03,16:00:00
311,2016-07-03 20:00:00,sensor_4,1956.915,73.0235474954,2016-07-03,20:00:00
315,2016-07-04 00:00:00,sensor_4,2069.6625,68.4458457041,2016-07-04,00:00:00
319,2016-07-04 04:00:00,sensor_4,1892.9375,66.8367400366,2016-07-04,04:00:00
323,2016-07-04 08:00:00,sensor_4,2053.17,71.2730322279,2016-07-04,08:00:00
327,2016-07-04 12:00:00,sensor_4,2266.445,76.8991235346,2016-07-04,12:00:00
331,2016-07-04 16:00:00,sensor_4,2362.11,75.9964895048,2016-07-04,16:00:00
335,2016-07-04 20:00:00,sensor_4,2664.16625,74.3789477845,2016-07-04,20:00:00
339,2016-07-05 00:00:00,sensor_4,1600.76625,69.6235757587,2016-07-05,00:00:00
343,2016-07-05 04:00:00,sensor_4,2045.245,70.9686481243,2016-07-05,04:00:00
347,2016-07-05 08:00:00,sensor_4,1979.32375,72.9052198746,2016-07-05,08:00:00
351,2016-07-05 12:00:00,sensor_4,4089.42,72.3966753712,2016-07-05,12:00:00
355,2016-07-05 16:00:00,sensor_4,2038.2575,73.3884902353,2016-07-05,16:00:00
359,2016-07-05 20:00:00,sensor_4,2245.69375,70.3230447955,2016-07-05,20:00:00
363,2016-07-06 00:00:00,sensor_4,2446.6525,69.4406804435,2016-07-06,00:00:00
367,2016-07-06 04:00:00,sensor_4,2572.77625,71.7122931691,2016-07-06,04:00:00
371,2016-07-06 08:00:00,sensor_4,2555.0975,72.1280280594,2016-07-06,08:00:00
375,2016-07-06 12:00:00,sensor_4,13388.5,73.3869880605,2016-07-06,12:00:00
379,2016-07-06 16:00:00,sensor_4,6720.19875,77.2018085034,2016-07-06,16:00:00
383,2016-07-06 20:00:00,sensor_4,4137.54875,70.4882500544,2016-07-06,20:00:00
387,2016-07-07 00:00:00,sensor_4,7314.865,69.9802485721,2016-07-07,00:00:00
391,2016-07-07 04:00:00,sensor_4,1965.26,70.9686481243,2016-07-07,04:00:00
395,2016-07-07 08:00:00,sensor_4,9312.9375,72.3956408001,2016-07-07,08:00:00
399,2016-07-07 12:00:00,sensor_4,2527.98,75.1797923865,2016-07-07,12:00:00
402,2016-07-07 16:00:00,sensor_4,13499.985,75.0799339951,2016-07-07,16:00:00
405,2016-07-07 20:00:00,sensor_4,10725.07625,70.6497225468,2016-07-07,20:00:00
408,2016-07-08 00:00:00,sensor_4,2595.125,69.8039103841,2016-07-08,00:00:00
412,2016-07-08 04:00:00,sensor_4,9611.72,71.7114610137,2016-07-08,04:00:00
416,2016-07-08 08:00:00,sensor_4,30462.6575,72.3949106919,2016-07-08,08:00:00
419,2016-07-08 12:00:00,sensor_4,6300.91,81.5943329943,2016-07-08,12:00:00
422,2016-07-08 16:00:00,sensor_4,23540.73,80.9369057144,2016-07-08,16:00:00
425,2016-07-08 20:00:00,sensor_4,2837.98375,78.0643761271,2016-07-08,20:00:00
428,2016-07-09 00:00:00,sensor_4,3286.895,75.5477468459,2016-07-09,00:00:00
432,2016-07-09 04:00:00,sensor_4,2539.60125,71.9868005489,2016-07-09,04:00:00
436,2016-07-09 08:00:00,sensor_4,2512.8625,74.5856925059,2016-07-09,08:00:00
440,2016-07-09 12:00:00,sensor_4,3455.08875,75.0843377293,2016-07-09,12:00:00
443,2016-07-09 16:00:00,sensor_4,6980.6575,74.7904080726,2016-07-09,16:00:00
446,2016-07-09 20:00:00,sensor_4,7032.005,72.1133279385,2016-07-09,20:00:00
449,2016-07-10 00:00:00,sensor_4,1687.145,66.2896019424,2016-07-10,00:00:00
452,2016-07-10 04:00:00,sensor_4,1909.8325,68.2416319245,2016-07-10,04:00:00
455,2016-07-10 08:00:00,sensor_4,18395.095,70.3230447955,2016-07-10,08:00:00
458,2016-07-10 12:00:00,sensor_4,7324.75875,75.5498735796,2016-07-10,12:00:00
461,2016-07-10 16:00:00,sensor_4,4852.1325,82.8194609664,2016-07-10,16:00:00
465,2016-07-10 20:00:00,sensor_4,7121.71875,82.0367678282,2016-07-10,20:00:00
469,2016-07-11 00:00:00,sensor_4,1739.8725,72.521762134,2016-07-11,00:00:00
473,2016-07-11 04:00:00,sensor_4,2160.75625,72.7796997226,2016-07-11,04:00:00
477,2016-07-11 08:00:00,sensor_4,12186.73375,74.6890871418,2016-07-11,08:00:00
481,2016-07-11 12:00:00,sensor_4,17538.6225,73.2686640551,2016-07-11,12:00:00
485,2016-07-11 16:00:00,sensor_4,6097.67,73.6574951607,2016-07-11,16:00:00
