,dt,sensor,con,spl,date,time
238,2016-06-30 20:00:00,sensor_3,1889.39,78.0628195614,2016-06-30,20:00:00
242,2016-07-01 00:00:00,sensor_3,2151.45875,74.7682343409,2016-07-01,00:00:00
246,2016-07-01 04:00:00,sensor_3,1867.82625,77.5689041439,2016-07-01,04:00:00
250,2016-07-01 08:00:00,sensor_3,2665.255,79.029899065,2016-07-01,08:00:00
254,2016-07-01 12:00:00,sensor_3,2559.3325,80.1698977792,2016-07-01,12:00:00
258,2016-07-01 16:00:00,sensor_3,2398.10125,79.2116447358,2016-07-01,16:00:00
262,2016-07-01 20:00:00,sensor_3,1536.96125,79.7252123519,2016-07-01,20:00:00
266,2016-07-02 00:00:00,sensor_3,1767.0725,76.2210384257,2016-07-02,00:00:00
270,2016-07-02 04:00:00,sensor_3,1671.9975,71.1072210005,2016-07-02,04:00:00
274,2016-07-02 08:00:00,sensor_3,1878.82375,76.973602682,2016-07-02,08:00:00
278,2016-07-02 12:00:00,sensor_3,2000.4025,77.4287580632,2016-07-02,12:00:00
282,2016-07-02 16:00:00,sensor_3,2202.87125,80.9835008841,2016-07-02,16:00:00
286,2016-07-02 20:00:00,sensor_3,2176.96125,77.4960087677,2016-07-02,20:00:00
290,2016-07-03 00:00:00,sensor_3,1443.1675,73.1274596876,2016-07-03,00:00:00
294,2016-07-03 04:00:00,sensor_3,1507.59375,72.3750864108,2016-07-03,04:00:00
298,2016-07-03 08:00:00,sensor_3,1554.5025,74.569680208,2016-07-03,08:00:00
302,2016-07-03 12:00:00,sensor_3,1367.24625,75.5492071294,2016-07-03,12:00:00
306,2016-07-03 16:00:00,sensor_3,1688.99125,73.1501716319,2016-07-03,16:00:00
310,2016-07-03 20:00:00,sensor_3,1581.95625,76.0758266995,2016-07-03,20:00:00
314,2016-07-04 00:00:00,sensor_3,1507.95875,72.7266410353,2016-07-04,00:00:00
318,2016-07-04 04:00:00,sensor_3,1648.94375,76.5534761727,2016-07-04,04:00:00
322,2016-07-04 08:00:00,sensor_3,2663.12375,78.7173480464,2016-07-04,08:00:00
326,2016-07-04 12:00:00,sensor_3,1807.38125,74.6855994437,2016-07-04,12:00:00
330,2016-07-04 16:00:00,sensor_3,2050.1325,75.821504491,2016-07-04,16:00:00
334,2016-07-04 20:00:00,sensor_3,1962.96875,74.2753449479,2016-07-04,20:00:00
338,2016-07-05 00:00:00,sensor_3,1211.3125,73.8290566006,2016-07-05,00:00:00
342,2016-07-05 04:00:00,sensor_3,1454.58,77.8469022257,2016-07-05,04:00:00
346,2016-07-05 08:00:00,sensor_3,3045.07,79.2694862257,2016-07-05,08:00:00
350,2016-07-05 12:00:00,sensor_3,2341.755,78.844848068,2016-07-05,12:00:00
354,2016-07-05 16:00:00,sensor_3,3766.225,78.780223802,2016-07-05,16:00:00
358,2016-07-05 20:00:00,sensor_3,1809.29375,77.9213084548,2016-07-05,20:00:00
362,2016-07-06 00:00:00,sensor_3,1893.855,72.3576661581,2016-07-06,00:00:00
